Название;Комнат;Номер квартиры;Статус;Площадь;Цена;Отделка
Май, корп. 2, кв.218;1К;218;Продажа;41,8;3073461;0
Май, корп. 2, кв.219;1К;219;Продажа;41,3;3261254,5;0
Май, корп. 2, кв.220;1К;220;Продажа;39;3049143,63;0
Май, корп. 2, кв.221;СТ;221;Продажа;28,6;1888887;0
Май, корп. 2, кв.222;СТ;222;Продажа;28,8;1978733,09;0
Май, корп. 2, кв.223;СТ;223;Продажа;28,8;2232842,98;0
Май, корп. 2, кв.224;1К;224;Продажа;39,2;3126382,28;0
Май, корп. 2, кв.225;1К;225;Продажа;40;2640000;0
Май, корп. 2, кв.226;1К;226;Продажа;40,4;2752200;0
Май, корп. 2, кв.227;1К;227;Продажа;43,9;3421380;0
Май, корп. 2, кв.228;СТ;228;Продажа;28,8;2232842,98;0
Май, корп. 2, кв.229;СТ;229;Продажа;29;2214450;0
Май, корп. 2, кв.230;1К;230;Пл. Бронь;39,3;3165701,46;0
Май, корп. 2, кв.231;1К;231;Продажа;41,8;3261360;0
Май, корп. 2, кв.232;1К;232;Продажа;41,3;3196995;0
Май, корп. 2, кв.233;1К;233;Продажа;39;3018954,12;0
Май, корп. 2, кв.234;СТ;234;Продажа;28,6;2130817,26;0
Май, корп. 2, кв.235;СТ;235;Продажа;28,8;2210735,52;0
Май, корп. 2, кв.236;СТ;236;Продажа;28,8;2232842,98;0
Май, корп. 2, кв.237;1К;237;Продажа;39,8;2706877,2;0
Май, корп. 2, кв.238;1К;238;Продажа;40,5;2758800;0
Май, корп. 2, кв.239;1К;239;Продажа;39,9;2704911,17;0
Май, корп. 2, кв.240;1К;240;Продажа;43,9;2908173;0
Май, корп. 2, кв.241;СТ;241;Продажа;28,8;2126486,59;0
Май, корп. 2, кв.242;СТ;242;Продажа;29;1854840;0
Май, корп. 2, кв.243;1К;243;Продажа;39,3;3012178,37;0
Май, корп. 2, кв.244;1К;244;Продажа;41,8;2855873;0
Май, корп. 2, кв.245;1К;245;Продажа;41,9;3411288,08;0
Май, корп. 2, кв.246;1К;246;Продажа;39;3049143,63;0
Май, корп. 2, кв.247;СТ;247;Продажа;28,6;2007720;0
Май, корп. 2, кв.248;СТ;248;Продажа;28,8;2237760;0
Май, корп. 2, кв.249;СТ;249;Продажа;28,8;2237760;0
Май, корп. 2, кв.250;1К;250;Продажа;39,8;3189254;0
Май, корп. 2, кв.251;1К;251;Продажа;40;2720000;0
Май, корп. 2, кв.252;1К;252;Продажа;40,4;3018663;0
Май, корп. 2, кв.253;1К;253;Продажа;43,9;2842210;0
МАЙ, корп. 3, кв.1;СТ;1;Стр. Резерв;29,2;2832400;2
МАЙ, корп. 3, кв.2;СТ;2;Стр. Резерв;29,4;2329137,97;2
МАЙ, корп. 3, кв.3;1К;3;Стр. Резерв;42;2708601,84;2
МАЙ, корп. 3, кв.4;1К;4;Стр. Резерв;41,9;3980500;2
МАЙ, корп. 3, кв.5;СТ;5;Стр. Резерв;29,2;2832400;2
МАЙ, корп. 3, кв.6;СТ;6;Стр. Резерв;29,2;2832400;2
МАЙ, корп. 3, кв.7;СТ;7;Продажа;28,6;1859512;0
МАЙ, корп. 3, кв.8;СТ;8;Продажа;28,8;2066976;0
МАЙ, корп. 3, кв.9;1К;9;Продажа;41,4;2696606,8;0
МАЙ, корп. 3, кв.10;1К;10;Продажа;41,7;3201722,25;0
МАЙ, корп. 3, кв.11;СТ;11;Продажа;28,6;2111719,32;0
МАЙ, корп. 3, кв.12;СТ;12;Продажа;29;2215089,89;0
МАЙ, корп. 3, кв.13;СТ;13;Продажа;29;1782600;0
МАЙ, корп. 3, кв.14;1К;14;Продажа;40,4;2600000;0
МАЙ, корп. 3, кв.15;1К;15;Продажа;44,6;2737102;0
МАЙ, корп. 3, кв.16;СТ;16;Продажа;28,6;1795937;0
МАЙ, корп. 3, кв.17;СТ;17;Продажа;28,8;1760000;0
МАЙ, корп. 3, кв.18;1К;18;Продажа;42;2400725;0
МАЙ, корп. 3, кв.19;1К;19;Продажа;41,7;2928323,41;0
МАЙ, корп. 3, кв.20;СТ;20;Продажа;28,6;1950520;0
МАЙ, корп. 3, кв.21;СТ;21;Продажа;29;2171444,02;0
МАЙ, корп. 3, кв.22;СТ;22;Продажа;29;2205919,8;0
МАЙ, корп. 3, кв.23;1К;23;Продажа;39,2;2464896;0
МАЙ, корп. 3, кв.24;1К;24;Продажа;44,9;3086160;0
МАЙ, корп. 3, кв.25;СТ;25;Продажа;28,6;1908900,99;0
МАЙ, корп. 3, кв.26;СТ;26;Продажа;28,8;1808450;0
МАЙ, корп. 3, кв.27;1К;27;Продажа;41,4;2488968;0
МАЙ, корп. 3, кв.28;1К;28;Продажа;41,7;2751417;0
МАЙ, корп. 3, кв.29;СТ;29;Продажа;28,6;2029520,06;0
МАЙ, корп. 3, кв.30;СТ;30;Продажа;29;1900080;0
МАЙ, корп. 3, кв.31;СТ;31;Продажа;29;2205919,8;0
МАЙ, корп. 3, кв.32;1К;32;Продажа;39,7;2685500;0
МАЙ, корп. 3, кв.33;1К;33;Продажа;45;2938198;0
МАЙ, корп. 3, кв.34;СТ;34;Продажа;28,6;1738539;0
МАЙ, корп. 3, кв.35;СТ;35;Продажа;28,8;1710000;0
МАЙ, корп. 3, кв.36;1К;36;Продажа;42;2623979,82;0
МАЙ, корп. 3, кв.37;1К;37;Продажа;41,7;2813930,18;0
МАЙ, корп. 3, кв.38;СТ;38;Продажа;28,6;1839781;0
МАЙ, корп. 3, кв.39;СТ;39;Продажа;29;2061420;0
МАЙ, корп. 3, кв.40;СТ;40;Продажа;28,8;1903680;0
МАЙ, корп. 3, кв.41;1К;41;Продажа;39,2;2311311;0
МАЙ, корп. 3, кв.42;1К;42;Продажа;44,9;2955636,79;0
МАЙ, корп. 3, кв.43;СТ;43;Продажа;35,8;2441560;0
МАЙ, корп. 3, кв.44;1К;44;Продажа;39,8;2622820;0
МАЙ, корп. 3, кв.45;СТ;45;Продажа;30,1;2043494,42;0
МАЙ, корп. 3, кв.46;СТ;46;Продажа;29,2;1765000;0
МАЙ, корп. 3, кв.47;СТ;47;Продажа;29,4;2216760;0
МАЙ, корп. 3, кв.48;1К;48;Продажа;41,7;3065432,05;0
МАЙ, корп. 3, кв.49;1К;49;Продажа;42;2805600;0
МАЙ, корп. 3, кв.50;СТ;50;Продажа;29,4;1829415;0
МАЙ, корп. 3, кв.51;СТ;51;Продажа;29,4;1841969;0
МАЙ, корп. 3, кв.52;СТ;52;Продажа;29,4;1902033;0
МАЙ, корп. 3, кв.53;1К;53;Продажа;50,3;3100000;0
МАЙ, корп. 3, кв.54;СТ;54;Продажа;37,2;2537040;0
МАЙ, корп. 3, кв.55;СТ;55;Продажа;28;2111200;0
МАЙ, корп. 3, кв.56;1К;56;Продажа;39,1;2873885,97;0
МАЙ, корп. 3, кв.57;СТ;57;Продажа;29,5;1911600;0
МАЙ, корп. 3, кв.58;СТ;58;Продажа;28,6;2111719,32;0
МАЙ, корп. 3, кв.59;СТ;59;Продажа;29,2;2059640,1;0
МАЙ, корп. 3, кв.60;1К;60;Продажа;41,1;3021325,12;0
МАЙ, корп. 3, кв.61;1К;61;Продажа;41,4;2591640;0
МАЙ, корп. 3, кв.62;СТ;62;Продажа;29,1;1873295;0
МАЙ, корп. 3, кв.63;СТ;63;Продажа;28,8;1841026;0
МАЙ, корп. 3, кв.64;СТ;64;Продажа;28,8;1823990;0
МАЙ, корп. 3, кв.65;СТ;65;Продажа;28,6;1795937;0
МАЙ, корп. 3, кв.66;СТ;66;Продажа;29,6;1954285;0
МАЙ, корп. 3, кв.67;СТ;67;Свободно;37;2871019,81;0
МАЙ, корп. 3, кв.68;СТ;68;Продажа;28;1909600;0
МАЙ, корп. 3, кв.69;1К;69;Продажа;39,1;2654506,04;0
МАЙ, корп. 3, кв.70;СТ;70;Продажа;29,5;1911600;0
МАЙ, корп. 3, кв.71;СТ;71;Продажа;28,6;2090797,57;0
МАЙ, корп. 3, кв.72;СТ;72;Продажа;29,2;1991440;0
МАЙ, корп. 3, кв.73;1К;73;Продажа;41,1;3112569,17;0
МАЙ, корп. 3, кв.74;1К;74;Продажа;41,4;2591640;0
МАЙ, корп. 3, кв.75;СТ;75;Продажа;28,8;1793000;0
МАЙ, корп. 3, кв.76;СТ;76;Продажа;28,8;1863216;0
МАЙ, корп. 3, кв.77;СТ;77;Продажа;28,8;2011713,98;0
МАЙ, корп. 3, кв.78;СТ;78;Продажа;28,6;1833750;0
МАЙ, корп. 3, кв.79;СТ;79;Продажа;29,3;1835704;0
МАЙ, корп. 3, кв.80;СТ;80;Пл. Бронь;37;2871019,81;0
МАЙ, корп. 3, кв.81;СТ;81;Продажа;28;1909600;0
МАЙ, корп. 3, кв.82;1К;82;Продажа;39,1;2789638,77;0
МАЙ, корп. 3, кв.83;СТ;83;Продажа;29,5;1903635;0
МАЙ, корп. 3, кв.84;СТ;84;Продажа;28,6;2156440;0
МАЙ, корп. 3, кв.85;СТ;85;Продажа;29,2;1935518;0
МАЙ, корп. 3, кв.86;1К;86;Продажа;41,1;3143695,02;0
МАЙ, корп. 3, кв.87;1К;87;Продажа;41,4;2669907,53;0
МАЙ, корп. 3, кв.88;СТ;88;Продажа;28,8;1608250;0
МАЙ, корп. 3, кв.89;СТ;89;Продажа;29,1;1873295;0
МАЙ, корп. 3, кв.90;СТ;90;Продажа;28,8;1608250;0
МАЙ, корп. 3, кв.91;СТ;91;Продажа;28,6;1745000;0
МАЙ, корп. 3, кв.92;СТ;92;Продажа;29,3;1892670;0
МАЙ, корп. 3, кв.93;СТ;93;Продажа;37;2727787,63;0
МАЙ, корп. 3, кв.94;СТ;94;Продажа;28;1887200;0
МАЙ, корп. 3, кв.95;1К;95;Продажа;39,1;2449693;0
МАЙ, корп. 3, кв.96;СТ;96;Продажа;29,5;2050250;0
МАЙ, корп. 3, кв.97;СТ;97;Продажа;28,6;2090660;0
МАЙ, корп. 3, кв.98;СТ;98;Продажа;29,2;1832325;0
МАЙ, корп. 3, кв.99;1К;99;Продажа;41,1;2818189,19;0
МАЙ, корп. 3, кв.100;1К;100;Продажа;42;2573406;0
МАЙ, корп. 3, кв.101;СТ;101;Продажа;28,8;1712500;0
МАЙ, корп. 3, кв.102;СТ;102;Продажа;28,8;1719000;0
МАЙ, корп. 3, кв.103;СТ;103;Продажа;29,1;1799000;0
МАЙ, корп. 3, кв.104;СТ;104;Продажа;28,6;1710000;0
МАЙ, корп. 3, кв.105;СТ;105;Продажа;29,6;1843091;0
МАЙ, корп. 3, кв.106;1К;106;Продажа;50,3;4094420;2
МАЙ, корп. 3, кв.107;СТ;107;Продажа;29,4;2466660;2
МАЙ, корп. 3, кв.108;СТ;108;Продажа;29,4;2466660;2
МАЙ, корп. 3, кв.109;СТ;109;Продажа;29,4;2728320;2
МАЙ, корп. 3, кв.110;1К;110;Продажа;42;3683400;2
МАЙ, корп. 3, кв.111;1К;111;Продажа;41,7;3145096,98;2
МАЙ, корп. 3, кв.112;СТ;112;Продажа;29,4;2271808;2
МАЙ, корп. 3, кв.113;СТ;113;Продажа;29,2;2222002,91;2
МАЙ, корп. 3, кв.114;СТ;114;Продажа;30,1;2681910;2
МАЙ, корп. 3, кв.115;1К;115;Продажа;40;3013120;2
МАЙ, корп. 3, кв.116;СТ;116;Продажа;28,4;2108416;2
